key,value,formula,multiplier
receipts_from_brokerage,Receipts from brokerage commissions,,1
receipts_from_im,Receipts from investment management fees,,1
receipts_from_advisory,Receipts from financial advisory fees,,1
receipts_from_clearing,Receipts from clearing and guarantee institution,,0
receipts_from_security,Receipts from securities company,,1
payments_to_securities,Payments to securities company,,-1
payments_to_clearing,Payments to clearing and guarantee institution,,-1
proceeds_to_sales,Proceeds on sale of marketable securities,,1
payments_to_marketable_securities,Payments for purchase of marketable securities,,-1
proceeds_repurchased_agreements,Proceeds on sale of securities purchased under agreement to resale,,1
payments_repurchased_agreements,Payments for purchase of securities purchased under agreement to resale,,-1
receipts_from_customers,Receipts from customers,,1
payments_to_customer,Payments to customers,,-1
cash_payments_for_cogs,Payments to suppliers for goods and services,,-1
interests_received,Interests received from operating activities,,1
interests_paid,Interests paid from operating activities,,-1
salaries_cash_payments,Payments for salaries and allowances,,-1
gna_cash_payments,Payments for general and administrative expense,,-1
corporate_income_tax,Payments for corporate income tax,,-1
clearing_and_guarantee_withdrawal,Withdrawal (placement) of deposits to clearing and guarantee institution,,1
refunded_income_taxes,Income taxes refunded (paid) from operating activities,,1
repayment_deposits,Repayment (placement) of refundable deposits,,1
other_flows,Other cash inflows (outflows) from operating activities,,1
net_cash_assets_and_liabilities,Net cash flows received from (used in) operating activities before changes in assets and liabilities,"receipts_from_brokerage,receipts_from_im,receipts_from_advisory,receipts_from_clearing,receipts_from_security,payments_to_securities,payments_to_clearing,proceeds_to_sales,payments_to_marketable_securities,proceeds_repurchased_agreements,payments_repurchased_agreements,receipts_from_customers,payments_to_customer,cash_payments_for_cogs,interests_received,interests_paid,salaries_cash_payments,gna_cash_payments,corporate_income_tax,clearing_and_guarantee_withdrawal,refunded_income_taxes,repayment_deposits,other_flows",1
decreased_operation,Decrease (increase) from operation assets,"decreased_securities,decreased_credit,decreased_assets",1
decreased_securities,Decrease (increase) from securities,,1
decreased_credit,Decrease (increase) from credit,,1
decreased_assets,Decrease (increase) from other assets,,1
increased_liabilities,Increase (decrease) from liabilities,"increased_deposits,increased_other_liabilities",1
increased_deposits,Increase (decrease) from deposits and deposits from other banks,,1
increased_other_liabilities,Increase (decrease) from other liabilities,,1
total_netcash_opex,Total net cash flows received from (used in) operating activities,"net_cash_assets_and_liabilities,decreased_operation,increased_liabilities",1
disposal_investments,Proceeds from disposal of investment properties,,1
acquisition_investments,Payments for acquisition of investment properties,,-1
proceeds_disposal_ppe,Proceeds from disposal of property and equipment,,1
acquisition_ppe,Payments for acquisition of property and equipment,,-1
proceeds_intangible_assets,Proceeds from disposal of intangible assets,,1
acquisition_intangible_assets,Payments for acquisition of intangible assets,,-1
disposal_non_finance,Proceeds from disposal of other non-financial assets,,1
acquisition_non_finance,Payments for acquisition of other non-financial assets,,-1
withdrawal_income,Withdrawal (placement) of financial assets fair value through other comprehensive income,,1
withdrawal_investing,Withdrawal (placement) of restricted funds from investing activities,,1
placement_cost,Placement of financial assets amotized cost investments,,-1
withdrawal_cost_investment,Withdrawal of financial assets amortized cost investments,,1
proceeds_subsidiaries,Proceeds from disposal of subsidiaries,,1
payments_acquisition,Payments for acquisition of subsidiaries,,-1
proceeds_interests,Proceeds from sales of interests in subsidiaries without loss of control from investing activities,,1
payments_interests,Payments for acquisition of additional interests in subsidiaries,,-1
joint_venture_sales,Proceeds from sales of interests in joint ventures,,1
joint_venture_acquisition,Payments for acquisition of interests in joint ventures,,-1
proceeds_sales_interests,Proceeds from sales of interests in associates,,1
payments_acquisition_interests,Payments for acquisition of interests in associates,,-1
dividends_received_from_investing,Dividends received from investing activities,,1
interests_received_from_investing,Interests received from investing activities,,1
interests_paid_from_investing,Interests paid from investing activities,,-1
